time /s	I /mA	E /V
0.200	-1495.882	3.771
0.400	-1498.614	3.770
0.600	-1498.795	3.769
0.800	-1498.854	3.769
1.000	-1498.921	3.768
1.200	-1498.926	3.768
1.400	-1498.953	3.768
1.600	-1498.988	3.767
1.800	-1498.982	3.767
2.000	-1498.983	3.767
2.200	-1498.995	3.766
2.400	-1499.006	3.766
2.600	-1499.030	3.766
2.800	-1499.003	3.765
3.000	-1499.036	3.765
3.200	-1499.023	3.765
3.400	-1499.027	3.765
3.600	-1499.047	3.764
3.800	-1499.047	3.764
4.000	-1499.047	3.764
4.200	-1499.046	3.763
4.400	-1499.048	3.763
4.600	-1499.046	3.763
4.800	-1499.043	3.763
5.000	-1499.038	3.763
5.200	-1499.051	3.762
5.400	-1499.050	3.762
5.600	-1499.055	3.762
5.800	-1499.053	3.762
6.000	-1499.050	3.761
6.200	-1499.053	3.761
6.400	-1499.054	3.761
6.600	-1499.050	3.761
6.800	-1499.052	3.761
7.000	-1499.056	3.760
7.200	-1499.040	3.760
7.400	-1499.065	3.760
7.600	-1499.050	3.760
7.800	-1499.048	3.760
8.000	-1499.063	3.759
8.200	-1499.057	3.759
8.400	-1499.042	3.759
8.600	-1499.048	3.759
8.800	-1499.055	3.759
9.000	-1499.038	3.759
9.200	-1499.060	3.758
9.400	-1499.042	3.758
9.600	-1499.058	3.758
9.800	-1499.055	3.758
10.000	-1499.035	3.758
10.200	-1499.049	3.757
10.400	-1499.060	3.757
10.600	-1499.056	3.757
10.800	-1499.060	3.757
11.000	-1499.060	3.757
11.200	-1499.031	3.757
11.400	-1499.039	3.757
11.600	-1499.053	3.756
11.800	-1499.034	3.756
12.000	-1499.051	3.756
12.200	-1499.050	3.756
12.400	-1499.062	3.756
12.600	-1499.063	3.756
12.800	-1499.058	3.755
13.000	-1499.054	3.755
13.200	-1499.052	3.755
13.400	-1499.054	3.755
13.600	-1499.043	3.755
13.800	-1499.059	3.755
14.000	-1499.052	3.755
14.200	-1499.075	3.754
14.400	-1499.062	3.754
14.600	-1499.056	3.754
14.800	-1499.053	3.754
15.000	-1499.075	3.754
15.200	-1499.070	3.754
15.400	-1499.066	3.754
15.600	-1499.058	3.754
15.800	-1499.052	3.753
16.000	-1499.059	3.753
16.200	-1499.063	3.753
16.400	-1499.070	3.753
16.600	-1499.066	3.753
16.800	-1499.069	3.753
17.000	-1499.050	3.753
17.200	-1499.058	3.752
17.400	-1499.053	3.752
17.600	-1499.071	3.752
17.800	-1499.085	3.752
18.000	-1499.053	3.752
18.200	-1499.073	3.752
18.400	-1499.075	3.752
18.600	-1499.068	3.752
18.800	-1499.068	3.751
19.000	-1499.063	3.751
19.200	-1499.062	3.751
19.400	-1499.054	3.751
19.600	-1499.055	3.751
19.800	-1499.067	3.751
20.000	-1499.052	3.751
20.200	-1499.051	3.751
20.400	-1499.050	3.751
20.600	-1499.061	3.750
20.800	-1499.050	3.750
21.000	-1499.051	3.750
21.200	-1499.053	3.750
21.400	-1499.071	3.750
21.600	-1499.060	3.750
21.800	-1499.062	3.750
22.000	-1499.063	3.750
22.200	-1499.050	3.749
22.400	-1499.074	3.749
22.600	-1499.041	3.749
22.800	-1499.040	3.749
23.000	-1499.052	3.749
23.200	-1499.053	3.749
23.400	-1499.041	3.749
23.600	-1499.056	3.749
23.800	-1499.049	3.749
24.000	-1499.059	3.748
24.200	-1499.056	3.748
