time /s	I /mA	E /V
0.200	-2716.058	3.695
0.400	-2714.064	3.698
0.600	-2710.654	3.698
0.800	-2708.119	3.699
1.000	-2706.659	3.698
1.200	-2705.837	3.698
1.400	-2705.118	3.698
1.600	-2704.763	3.698
1.800	-2704.438	3.697
2.000	-2704.209	3.697
2.200	-2703.898	3.696
2.400	-2703.819	3.696
2.600	-2703.758	3.696
2.800	-2703.440	3.695
3.000	-2703.488	3.695
3.200	-2703.554	3.695
3.400	-2703.271	3.694
3.600	-2703.107	3.694
3.800	-2702.974	3.693
4.000	-2702.522	3.693
4.200	-2702.272	3.693
4.400	-2702.042	3.692
4.600	-2701.865	3.692
4.800	-2701.807	3.692
5.000	-2701.247	3.692
5.200	-2700.770	3.691
5.400	-2700.413	3.691
5.600	-2700.141	3.691
5.800	-2699.859	3.690
6.000	-2699.555	3.690
6.200	-2699.171	3.690
6.400	-2698.743	3.689
6.600	-2698.670	3.689
6.800	-2698.266	3.689
7.000	-2697.960	3.689
7.200	-2697.586	3.688
7.400	-2697.117	3.688
7.600	-2696.433	3.688
7.800	-2695.980	3.687
8.000	-2695.540	3.687
8.200	-2695.030	3.687
8.400	-2694.489	3.687
8.600	-2694.409	3.686
8.800	-2693.823	3.686
9.000	-2693.374	3.686
9.200	-2692.746	3.686
9.400	-2692.250	3.685
9.600	-2691.610	3.685
9.800	-2691.034	3.685
10.000	-2690.573	3.685
10.200	-2690.037	3.684
10.400	-2689.537	3.684
10.600	-2688.874	3.684
10.800	-2688.334	3.684
11.000	-2687.776	3.684
11.200	-2687.235	3.683
11.400	-2686.951	3.683
11.600	-2686.297	3.683
11.800	-2685.755	3.683
12.000	-2685.509	3.682
12.200	-2685.238	3.682
12.400	-2684.742	3.682
12.600	-2683.969	3.682
12.800	-2683.385	3.682
13.000	-2683.173	3.681
13.200	-2682.341	3.681
13.400	-2681.896	3.681
13.600	-2681.486	3.681
13.800	-2680.960	3.681
14.000	-2680.726	3.680
14.200	-2680.120	3.680
14.400	-2679.507	3.680
14.600	-2678.774	3.680
14.800	-2678.335	3.680
15.000	-2677.854	3.680
15.200	-2677.091	3.679
15.400	-2676.348	3.679
15.600	-2675.614	3.679
15.800	-2675.049	3.679
16.000	-2674.720	3.679
16.200	-2674.497	3.678
16.400	-2674.116	3.678
16.600	-2673.404	3.678
16.800	-2672.841	3.678
17.000	-2672.268	3.678
17.200	-2671.883	3.677
17.400	-2671.667	3.677
17.600	-2671.396	3.677
17.800	-2671.138	3.677
18.000	-2670.305	3.677
18.200	-2669.455	3.677
18.400	-2668.927	3.676
18.600	-2668.200	3.676
18.800	-2667.775	3.676
19.000	-2667.071	3.676
19.200	-2666.739	3.676
19.400	-2665.960	3.676
19.600	-2665.414	3.676
19.800	-2665.005	3.675
20.000	-2664.455	3.675
20.200	-2663.783	3.675
20.400	-2663.674	3.675
20.600	-2663.521	3.675
20.800	-2662.916	3.674
21.000	-2662.547	3.674
21.200	-2662.125	3.674
21.400	-2661.897	3.674
21.600	-2661.442	3.674
21.800	-2661.262	3.674
22.000	-2660.935	3.673
22.200	-2660.699	3.673
22.400	-2659.886	3.673
22.600	-2659.130	3.673
22.800	-2658.727	3.673
23.000	-2658.388	3.673
23.200	-2658.054	3.673
23.400	-2657.516	3.673
23.600	-2656.842	3.673
23.800	-2656.213	3.672
24.000	-2655.858	3.672
24.200	-2655.605	3.672
24.400	-2655.174	3.672
24.600	-2654.815	3.672
24.800	-2654.496	3.672
25.000	-2654.637	3.671
25.200	-2654.368	3.671
25.400	-2653.826	3.671
25.600	-2653.224	3.671
25.800	-2652.703	3.671
26.000	-2652.011	3.671
26.200	-2651.899	3.671
26.400	-2651.391	3.670
26.600	-2651.225	3.670
26.800	-2650.452	3.670
27.000	-2649.812	3.670
27.200	-2649.144	3.670
27.400	-2648.861	3.670
27.600	-2648.623	3.670
27.800	-2648.559	3.669
28.000	-2648.132	3.669
28.200	-2647.702	3.669
28.400	-2647.433	3.669
28.600	-2647.099	3.669
28.800	-2646.558	3.669
29.000	-2646.640	3.668
29.200	-2646.281	3.668
29.400	-2645.881	3.668
29.600	-2645.214	3.668
29.800	-2644.664	3.668
30.000	-2644.275	3.668
30.200	-2643.673	3.668
30.400	-2643.219	3.668
30.600	-2642.916	3.668
