freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	4.214E-02	1.068E+00	
7.943E+02	4.237E-02	8.479E-01	
6.310E+02	4.262E-02	6.731E-01	
5.012E+02	4.291E-02	5.343E-01	
3.981E+02	4.321E-02	4.240E-01	
3.162E+02	4.349E-02	3.364E-01	
2.512E+02	4.378E-02	2.668E-01	
1.995E+02	4.408E-02	2.116E-01	
1.585E+02	4.439E-02	1.677E-01	
1.259E+02	4.467E-02	1.329E-01	
1.000E+02	4.495E-02	1.053E-01	
7.943E+01	4.530E-02	8.372E-02	
6.310E+01	4.552E-02	6.629E-02	
5.200E+01	4.569E-02	5.441E-02	
3.981E+01	4.597E-02	4.146E-02	
3.162E+01	4.612E-02	3.277E-02	
2.512E+01	4.631E-02	2.592E-02	
1.995E+01	4.641E-02	2.050E-02	
1.585E+01	4.652E-02	1.617E-02	
1.259E+01	4.665E-02	1.277E-02	
1.000E+01	4.670E-02	1.011E-02	
7.943E+00	4.679E-02	7.891E-03	
6.310E+00	4.684E-02	6.224E-03	
5.012E+00	4.690E-02	4.858E-03	
3.981E+00	4.690E-02	3.836E-03	
3.162E+00	4.696E-02	2.898E-03	
2.512E+00	4.705E-02	2.188E-03	
1.995E+00	4.708E-02	1.582E-03	
1.585E+00	4.705E-02	1.111E-03	
1.259E+00	4.709E-02	7.505E-04	
1.000E+00	4.716E-02	4.889E-04	
7.943E-01	4.711E-02	8.969E-05	
6.310E-01	4.728E-02	-2.482E-04	
5.012E-01	4.746E-02	-3.655E-04	
3.981E-01	4.752E-02	-5.083E-04	
3.162E-01	4.763E-02	-8.915E-04	
2.512E-01	4.787E-02	-1.193E-03	
1.995E-01	4.792E-02	-1.469E-03	
1.585E-01	4.814E-02	-1.773E-03	
1.259E-01	4.837E-02	-2.133E-03	
1.000E-01	4.861E-02	-2.531E-03	
7.943E-02	4.891E-02	-2.957E-03	
6.310E-02	4.918E-02	-3.437E-03	
5.012E-02	4.957E-02	-3.906E-03	
3.981E-02	4.997E-02	-4.592E-03	
3.162E-02	5.063E-02	-5.226E-03	
2.512E-02	5.106E-02	-6.214E-03	
1.995E-02	5.162E-02	-7.107E-03	
1.585E-02	5.256E-02	-8.272E-03	
1.259E-02	5.357E-02	-9.704E-03	
1.000E-02	5.482E-02	-1.091E-02	
