time /s	I /mA	E /V
0.200	209.510	2.985
0.400	209.901	2.985
0.600	209.927	2.986
0.800	209.936	2.986
1.000	209.940	2.986
1.200	209.945	2.986
1.400	209.946	2.987
1.600	209.948	2.987
1.800	209.950	2.987
2.000	209.950	2.987
2.200	209.951	2.987
2.400	209.952	2.987
2.600	209.953	2.988
2.800	209.953	2.988
3.000	209.955	2.988
3.200	209.954	2.988
3.400	209.954	2.988
3.600	209.955	2.988
3.800	209.955	2.989
4.000	209.955	2.989
4.200	209.956	2.989
4.400	209.956	2.989
4.600	209.958	2.989
4.800	209.956	2.989
5.000	209.957	2.990
5.200	209.958	2.990
5.400	209.958	2.990
5.600	209.958	2.990
5.800	209.958	2.990
6.000	209.957	2.990
6.200	209.958	2.990
6.400	209.957	2.991
6.600	209.957	2.991
6.800	209.958	2.991
7.000	209.959	2.991
7.200	209.956	2.991
7.400	209.956	2.991
7.600	209.958	2.991
7.800	209.959	2.992
8.000	209.960	2.992
8.200	209.957	2.992
8.400	209.958	2.992
8.600	209.958	2.992
8.800	209.958	2.992
9.000	209.959	2.993
9.200	209.959	2.993
9.400	209.958	2.993
9.600	209.960	2.993
9.800	209.957	2.993
10.000	209.959	2.993
10.200	209.960	2.993
10.400	209.959	2.994
10.600	209.961	2.994
10.800	209.959	2.994
11.000	209.957	2.994
11.200	209.958	2.994
11.400	209.957	2.994
11.600	209.957	2.994
11.800	209.960	2.995
12.000	209.959	2.995
12.200	209.957	2.995
12.400	209.959	2.995
12.600	209.961	2.995
12.800	209.957	2.995
13.000	209.959	2.995
13.200	209.958	2.996
13.400	209.958	2.996
13.600	209.959	2.996
13.800	209.960	2.996
14.000	209.961	2.996
14.200	209.959	2.996
14.400	209.959	2.996
14.600	209.960	2.996
14.800	209.960	2.997
15.000	209.960	2.997
15.200	209.959	2.997
15.400	209.958	2.997
15.600	209.959	2.997
15.800	209.958	2.997
16.000	209.959	2.997
16.200	209.960	2.997
16.400	209.959	2.998
16.600	209.958	2.998
16.800	209.959	2.998
17.000	209.958	2.998
17.200	209.958	2.998
