time /s	I /mA	E /V
0.200	-1994.864	3.909
0.400	-1998.433	3.908
0.600	-1998.638	3.907
0.800	-1998.728	3.906
1.000	-1998.771	3.906
1.200	-1998.803	3.905
1.400	-1998.844	3.905
1.600	-1998.848	3.904
1.800	-1998.863	3.904
2.000	-1998.866	3.903
2.200	-1998.873	3.903
2.400	-1998.887	3.902
2.600	-1998.893	3.902
2.800	-1998.900	3.902
3.000	-1998.905	3.901
3.200	-1998.913	3.901
3.400	-1998.913	3.901
3.600	-1998.917	3.900
3.800	-1998.924	3.900
4.000	-1998.914	3.900
4.200	-1998.932	3.899
4.400	-1998.935	3.899
4.600	-1998.926	3.899
4.800	-1998.932	3.898
5.000	-1998.936	3.898
5.200	-1998.941	3.898
5.400	-1998.929	3.897
5.600	-1998.945	3.897
5.800	-1998.945	3.897
6.000	-1998.943	3.897
6.200	-1998.927	3.896
6.400	-1998.923	3.896
6.600	-1998.947	3.896
6.800	-1998.944	3.895
7.000	-1998.939	3.895
7.200	-1998.960	3.895
7.400	-1998.965	3.895
7.600	-1998.943	3.894
7.800	-1998.955	3.894
8.000	-1998.947	3.894
8.200	-1998.946	3.894
8.400	-1998.968	3.893
8.600	-1998.961	3.893
8.800	-1998.963	3.893
9.000	-1998.947	3.893
9.200	-1998.954	3.892
9.400	-1998.952	3.892
9.600	-1998.960	3.892
9.800	-1998.945	3.892
10.000	-1998.943	3.892
10.200	-1998.952	3.891
10.400	-1998.953	3.891
10.600	-1998.950	3.891
10.800	-1998.949	3.891
11.000	-1998.940	3.890
11.200	-1998.947	3.890
11.400	-1998.944	3.890
11.600	-1998.938	3.890
11.800	-1998.966	3.890
12.000	-1998.934	3.889
12.200	-1998.946	3.889
12.400	-1998.950	3.889
12.600	-1998.942	3.889
12.800	-1998.947	3.889
13.000	-1998.960	3.888
13.200	-1998.958	3.888
13.400	-1998.967	3.888
13.600	-1998.955	3.888
13.800	-1998.953	3.888
14.000	-1998.955	3.887
14.200	-1998.955	3.887
14.400	-1998.947	3.887
14.600	-1998.953	3.887
14.800	-1998.966	3.887
15.000	-1998.969	3.886
15.200	-1998.962	3.886
15.400	-1998.953	3.886
15.600	-1998.947	3.886
15.800	-1998.957	3.886
16.000	-1998.958	3.886
16.200	-1998.941	3.885
16.400	-1998.961	3.885
16.600	-1998.946	3.885
16.800	-1998.942	3.885
17.000	-1998.952	3.885
17.200	-1998.951	3.884
17.400	-1998.970	3.884
17.600	-1998.953	3.884
17.800	-1998.944	3.884
18.000	-1998.955	3.884
18.200	-1998.917	3.884
18.400	-1998.939	3.884
18.600	-1998.957	3.883
18.800	-1998.959	3.883
19.000	-1998.947	3.883
19.200	-1998.959	3.883
19.400	-1998.963	3.883
19.600	-1998.949	3.883
19.800	-1998.957	3.882
20.000	-1998.956	3.882
20.200	-1998.939	3.882
20.400	-1998.953	3.882
20.600	-1998.955	3.882
20.800	-1998.946	3.882
21.000	-1998.965	3.881
21.200	-1998.976	3.881
21.400	-1998.966	3.881
21.600	-1998.973	3.881
