freq. /Hz	Z1 /ohm	Z2 /ohm	
1.000E+03	1.066E-01	-6.001E-04	
7.943E+02	1.070E-01	-8.604E-04	
6.310E+02	1.073E-01	-1.245E-03	
5.012E+02	1.075E-01	-1.274E-03	
3.981E+02	1.080E-01	-1.486E-03	
3.162E+02	1.080E-01	-1.384E-03	
2.512E+02	1.084E-01	-1.557E-03	
1.995E+02	1.087E-01	-1.521E-03	
1.585E+02	1.090E-01	-1.445E-03	
1.259E+02	1.092E-01	-1.529E-03	
1.000E+02	1.094E-01	-1.467E-03	
7.943E+01	1.099E-01	-1.259E-03	
6.310E+01	1.098E-01	-1.167E-03	
5.200E+01	1.102E-01	-9.720E-04	
3.981E+01	1.102E-01	-9.840E-04	
3.162E+01	1.105E-01	-1.103E-03	
2.512E+01	1.104E-01	-7.165E-04	
1.995E+01	1.105E-01	-7.811E-04	
1.585E+01	1.110E-01	-5.972E-04	
1.259E+01	1.106E-01	-6.655E-04	
1.000E+01	1.106E-01	-3.848E-04	
7.943E+00	1.110E-01	-7.130E-04	
6.310E+00	1.107E-01	1.141E-04	
5.012E+00	1.109E-01	-3.212E-04	
3.981E+00	1.110E-01	-6.732E-04	
3.162E+00	1.111E-01	-1.900E-04	
2.512E+00	1.112E-01	-3.971E-04	
1.995E+00	1.111E-01	-2.847E-04	
1.585E+00	1.110E-01	-5.689E-04	
1.259E+00	1.112E-01	-3.609E-04	
1.000E+00	1.111E-01	-6.687E-04	
7.943E-01	1.112E-01	-6.112E-04	
6.310E-01	1.113E-01	-7.151E-04	
5.012E-01	1.115E-01	-4.861E-04	
3.981E-01	1.115E-01	-8.282E-04	
3.162E-01	1.116E-01	-9.759E-04	
2.512E-01	1.118E-01	-1.131E-03	
1.995E-01	1.120E-01	-1.350E-03	
1.585E-01	1.120E-01	-1.579E-03	
1.259E-01	1.123E-01	-1.820E-03	
1.000E-01	1.125E-01	-2.076E-03	
7.943E-02	1.128E-01	-2.382E-03	
6.310E-02	1.131E-01	-2.744E-03	
5.012E-02	1.133E-01	-3.098E-03	
3.981E-02	1.136E-01	-3.591E-03	
3.162E-02	1.142E-01	-4.037E-03	
2.512E-02	1.145E-01	-4.771E-03	
1.995E-02	1.150E-01	-5.385E-03	
1.585E-02	1.159E-01	-6.125E-03	
1.259E-02	1.165E-01	-7.156E-03	
1.000E-02	1.175E-01	-7.969E-03	
