time /s	I /mA	E /V
0.2	-398.359	4.008
0.4	-399.579	4.008
0.6	-399.631	4.008
0.8	-399.654	4.008
1	-399.669	4.008
1.2	-399.675	4.008
1.4	-399.683	4.008
1.6	-399.687	4.008
1.8	-399.69	4.007
2	-399.692	4.007
2.2	-399.695	4.007
2.4	-399.696	4.007
2.6	-399.696	4.007
2.8	-399.699	4.007
3	-399.7	4.007
3.2	-399.701	4.007
3.4	-399.7	4.007
3.6	-399.702	4.007
3.8	-399.703	4.007
4	-399.703	4.007
4.2	-399.703	4.007
4.4	-399.705	4.006
4.6	-399.705	4.006
4.8	-399.706	4.006
5	-399.707	4.006
5.2	-399.707	4.006
5.4	-399.707	4.006
5.6	-399.708	4.006
5.8	-399.708	4.006
6	-399.708	4.006
6.2	-399.709	4.006
6.4	-399.709	4.006
6.6	-399.71	4.006
6.8	-399.71	4.006
7	-399.709	4.006
7.2	-399.71	4.006
7.4	-399.711	4.006
7.6	-399.711	4.006
7.8	-399.71	4.006
8	-399.711	4.006
8.2	-399.711	4.005
8.4	-399.712	4.005
8.6	-399.711	4.005
8.8	-399.712	4.005
9	-399.712	4.005
9.2	-399.712	4.005
9.4	-399.712	4.005
9.6	-399.711	4.005
9.8	-399.711	4.005
10	-399.713	4.005
10.2	-399.713	4.005
10.4	-399.713	4.005
10.6	-399.714	4.005
10.8	-399.712	4.005
11.2	-399.714	4.005
11.4	-399.714	4.005
11.6	-399.712	4.005
11.8	-399.712	4.005
12	-399.713	4.005
12.2	-399.714	4.005
12.4	-399.714	4.005
12.6	-399.714	4.005
13	-399.714	4.004
13.2	-399.714	4.004
13.4	-399.714	4.004
13.6	-399.714	4.004
13.8	-399.714	4.004
14	-399.713	4.004
14.2	-399.716	4.004
14.4	-399.715	4.004
14.6	-399.715	4.004
14.8	-399.716	4.004
15.2	-399.715	4.004
15.4	-399.714	4.004
15.6	-399.715	4.004
15.8	-399.714	4.004
16.2	-399.714	4.004
16.4	-399.716	4.004
16.6	-399.714	4.004
16.8	-399.717	4.004
17	-399.716	4.004
17.2	-399.715	4.004
17.4	-399.715	4.004
17.6	-399.716	4.004
18	-399.717	4.004
18.2	-399.715	4.004
18.6	-399.716	4.003
18.8	-399.716	4.003
19	-399.717	4.003
19.2	-399.715	4.003
19.4	-399.715	4.003
19.6	-399.715	4.003
19.8	-399.715	4.003
20	-399.716	4.003
20.2	-399.715	4.003
20.4	-399.716	4.003
20.8	-399.716	4.003
21	-399.714	4.003
21.4	-399.716	4.003
21.6	-399.716	4.003
22	-399.715	4.003
22.2	-399.716	4.003
22.6	-399.715	4.003
22.8	-399.716	4.003
23.2	-399.715	4.003
23.4	-399.716	4.003
23.8	-399.715	4.003
24	-399.715	4.003
24.6	-399.716	4.003
24.8	-399.716	4.002
25.4	-399.715	4.002
25.6	-399.717	4.002
26	-399.717	4.002
26.2	-399.716	4.002
26.8	-399.716	4.002
27	-399.716	4.002
27.2	-399.716	4.002
27.4	-399.716	4.002
27.8	-399.717	4.002
28	-399.716	4.002
28.4	-399.717	4.002
28.6	-399.717	4.002
29	-399.715	4.002
29.2	-399.717	4.002
29.8	-399.718	4.002
30	-399.717	4.002
30.6	-399.716	4.002
30.8	-399.718	4.002
31.8	-399.718	4.002
32	-399.717	4.002
32.4	-399.717	4.002
32.6	-399.717	4.002
33	-399.717	4.001
33.2	-399.714	4.001
33.8	-399.718	4.001
34	-399.717	4.001
34.4	-399.717	4.001
34.6	-399.717	4.001
35	-399.718	4.001
35.2	-399.717	4.001
36	-399.717	4.001
36.2	-399.718	4.001
36.6	-399.718	4.001
36.8	-399.719	4.001
37.2	-399.718	4.001
37.4	-399.718	4.001
38	-399.717	4.001
38.2	-399.717	4.001
38.4	-399.717	4.001
38.6	-399.717	4.001
39.6	-399.718	4.001
39.8	-399.718	4.001
40	-399.719	4.001
40.2	-399.717	4.001
41	-399.719	4.001
41.2	-399.717	4.001
42.2	-399.718	4
42.4	-399.718	4
42.6	-399.718	4
42.8	-399.718	4
43.6	-399.719	4
43.8	-399.718	4
44.4	-399.719	4
44.6	-399.717	4
45.4	-399.717	4
45.6	-399.717	4
46.2	-399.718	4
46.4	-399.717	4
47.2	-399.718	4
47.4	-399.719	4
48	-399.719	4
48.2	-399.717	4
49	-399.718	4
49.2	-399.718	4
49.6	-399.717	4
49.8	-399.719	4
50.6	-399.717	4
50.8	-399.719	4
51	-399.719	4
51.2	-399.718	4
52	-399.719	4
52.2	-399.719	3.999
53	-399.717	3.999
53.2	-399.718	3.999
53.6	-399.719	3.999
53.8	-399.719	3.999
54.4	-399.719	3.999
54.6	-399.72	3.999
55.6	-399.719	3.999
55.8	-399.718	3.999
56.6	-399.719	3.999
56.8	-399.718	3.999
57.4	-399.718	3.999
57.6	-399.717	3.999
58	-399.718	3.999
58.2	-399.718	3.999
59.2	-399.719	3.999
59.4	-399.719	3.999
60	-399.718	3.999
60.2	-399.718	3.999
61	-399.719	3.999
61.2	-399.718	3.999
62.2	-399.718	3.999
62.4	-399.718	3.999
